日期,地区,省份,产品类别,产品名称,销售数量,销售金额,成本金额,利润金额,客户数量,复购率,退货数,渠道
2024-12-18,华南,广东,服饰,商务衬衫,92,73600,44160,29440,78,0.26,2,线下
2024-12-22,西南,四川,电子产品,智能手表,116,348000,243600,104400,102,0.29,2,线上
2025-01-12,华东,上海,电子产品,智能手机,168,924000,739200,184800,152,0.38,3,线上
2025-01-16,华东,浙江,电子产品,笔记本电脑,94,705000,564000,141000,82,0.30,2,线下
2025-01-20,华北,北京,电子产品,平板电脑,72,316800,221760,95040,65,0.34,1,线上
2025-01-22,华南,广东,日用品,洗护套装,248,54560,32736,21824,212,0.48,4,线下
2025-02-08,华东,上海,电子产品,智能手机,156,858000,686400,171600,140,0.36,3,线上
2025-02-12,华东,江苏,日用品,厨房电器,186,241800,169260,72540,164,0.40,4,线下
2025-02-16,华北,北京,电子产品,平板电脑,78,343200,240240,102960,70,0.33,2,线上
2025-02-20,华南,广东,日用品,洗护套装,268,58960,35376,23584,232,0.50,5,线下
2025-03-06,华东,上海,服饰,运动鞋,326,211900,127140,84760,294,0.45,7,线上
2025-03-10,西南,四川,食品,休闲零食,472,40120,24072,16048,406,0.58,10,线下
2025-03-14,华北,天津,电子产品,耳机,212,153700,92220,61480,190,0.38,5,线上
2025-03-18,华南,深圳,电子产品,智能手表,138,427800,299460,128340,120,0.31,3,线上
2025-04-06,华东,浙江,服饰,运动鞋,312,202800,121680,81120,278,0.42,8,线下
2025-04-10,华北,北京,日用品,办公用品,178,39160,23496,15664,156,0.55,4,线上
2025-04-14,西南,重庆,食品,休闲零食,428,36380,21828,14552,368,0.52,8,线下
2025-04-18,华南,广东,电子产品,笔记本电脑,98,715400,500780,214620,86,0.29,2,线上
2025-05-08,华东,上海,日用品,厨房电器,196,254800,178360,76440,174,0.41,4,线下
2025-05-12,华北,北京,电子产品,智能手机,178,961200,768960,192240,162,0.37,4,线上
2025-05-16,华南,深圳,电子产品,智能手表,142,454400,318080,136320,124,0.33,3,线上
2025-05-20,西南,四川,服饰,商务衬衫,96,80640,48384,32256,82,0.28,2,线下
2025-06-10,华东,江苏,电子产品,平板电脑,78,343200,240240,102960,70,0.35,2,线上
2025-06-14,华北,天津,日用品,洗护套装,292,64240,38544,25696,256,0.49,6,线下
2025-06-18,华南,广东,食品,休闲零食,412,35020,21012,14008,362,0.56,9,线下
2025-06-22,西南,重庆,电子产品,耳机,186,135780,81468,54312,168,0.37,4,线上
2025-07-08,华东,上海,电子产品,智能手机,182,1001000,800800,200200,164,0.39,4,线上
2025-07-12,华东,浙江,服饰,运动鞋,342,222300,133380,88920,306,0.46,8,线下
2025-07-16,华北,北京,日用品,办公用品,186,40920,24552,16368,166,0.56,3,线上
2025-07-20,华南,深圳,电子产品,笔记本电脑,92,690000,483000,207000,82,0.28,2,线上
2025-08-10,西南,四川,食品,休闲零食,486,41310,24786,16524,422,0.60,12,线下
2025-08-14,华东,上海,日用品,厨房电器,162,210600,147420,63180,144,0.39,4,线下
2025-08-18,华北,天津,电子产品,平板电脑,70,308000,215600,92400,62,0.31,2,线上
2025-08-22,华南,广东,日用品,洗护套装,312,68640,41184,27456,278,0.51,7,线下
2025-09-08,华东,江苏,电子产品,智能手表,138,455400,318780,136620,120,0.33,3,线上
2025-09-12,华北,北京,电子产品,智能手机,192,1056000,844800,211200,174,0.39,5,线上
2025-09-16,西南,重庆,服饰,商务衬衫,82,68880,41328,27552,72,0.26,2,线下
2025-09-20,华南,深圳,日用品,办公用品,152,33440,20064,13376,134,0.52,3,线上
2025-10-06,华东,上海,电子产品,笔记本电脑,102,765000,535500,229500,90,0.30,2,线上
2025-10-10,华北,天津,食品,休闲零食,402,34170,20502,13668,346,0.55,9,线下
2025-10-14,华南,广东,电子产品,耳机,196,144060,86436,57624,178,0.36,4,线上
2025-10-18,西南,四川,日用品,厨房电器,148,192400,134680,57720,130,0.38,3,线下
2025-11-08,华东,浙江,服饰,运动鞋,372,241800,145080,96720,334,0.47,9,线下
2025-11-12,华北,北京,日用品,洗护套装,326,71600,42960,28640,292,0.50,7,线下
2025-11-16,华南,深圳,电子产品,智能手机,202,1111000,888800,222200,184,0.38,5,线上
2025-11-20,西南,重庆,食品,休闲零食,442,37570,22542,15028,384,0.58,11,线下
2025-12-08,华东,上海,日用品,办公用品,208,45760,27456,18304,186,0.55,4,线上
2025-12-12,华北,天津,电子产品,平板电脑,84,369600,258720,110880,76,0.33,2,线上
2025-12-16,华南,广东,服饰,商务衬衫,98,82320,49392,32928,84,0.28,2,线下
2025-12-20,西南,四川,电子产品,智能手表,122,402600,281820,120780,108,0.31,3,线上
