用户ID,订单ID,订单时间,订单状态,订单实付金额,流量来源,商品类目,商品成本,运费,退款金额,退款完成日期
U00_00012,ORD00000032,2025-01-26,已完成,344.29,抖音,数码,138.52,10,0.0,
U00_00012,ORD00000033,2025-04-10,已支付,322.17,微信,家居,198.23,5,0.0,
U00_00012,ORD00000034,2025-07-14,已完成,423.21,微信,数码,174.88,10,0.0,
U00_00013,ORD00000035,2025-01-18,已完成,367.55,小红书,家居,208.87,0,251.63,2025-03-04
U00_00013,ORD00000036,2025-02-05,已完成,68.82,小红书,数码,35.06,0,0.0,
U00_00014,ORD00000037,2025-01-30,已完成,468.45,抖音,数码,308.89,5,0.0,
U00_00014,ORD00000038,2025-02-14,已完成,411.01,小红书,美妆,270.95,5,0.0,
U00_00014,ORD00000039,2025-03-16,已完成,150.1,微信,数码,96.81,15,0.0,
U00_00014,ORD00000040,2025-07-25,已支付,175.61,其他,食品,104.04,15,0.0,
U00_00015,ORD00000041,2025-01-04,已完成,444.67,抖音,美妆,212.71,10,0.0,
U00_00015,ORD00000042,2025-02-26,已完成,191.15,搜索引擎,家居,111.22,10,0.0,
U00_00015,ORD00000043,2025-03-14,已支付,50.76,小红书,食品,34.4,10,0.0,
U00_00016,ORD00000044,2025-01-04,已支付,373.89,搜索引擎,食品,183.24,10,0.0,
U00_00016,ORD00000045,2025-02-05,已支付,136.33,小红书,家居,81.73,15,0.0,
U00_00017,ORD00000046,2025-01-20,已支付,344.62,小红书,家居,185.92,15,0.0,
U00_00017,ORD00000047,2025-04-03,已完成,177.7,抖音,数码,106.47,10,0.0,
U00_00017,ORD00000048,2025-07-08,已完成,492.77,搜索引擎,家居,287.47,0,0.0,
U00_00018,ORD00000049,2025-01-23,已支付,222.79,抖音,美妆,115.83,5,0.0,
U00_00018,ORD00000050,2025-02-26,已支付,481.08,小红书,美妆,267.19,0,0.0,
U00_00019,ORD00000051,2025-01-29,已完成,249.16,其他,服饰,160.58,10,0.0,
U00_00020,ORD00000052,2025-01-17,已完成,268.07,微信,数码,126.47,15,0.0,
U00_00020,ORD00000053,2025-02-18,已支付,86.26,小红书,数码,38.41,15,60.71,2025-04-03
U00_00020,ORD00000054,2025-04-27,已支付,239.06,抖音,家居,160.52,10,0.0,
U00_00020,ORD00000055,2025-05-12,已支付,184.38,其他,家居,95.32,15,0.0,
U00_00021,ORD00000056,2025-01-16,已支付,63.06,小红书,服饰,31.58,15,0.0,
U00_00021,ORD00000057,2025-07-14,已完成,111.06,搜索引擎,食品,59.81,0,0.0,
U00_00022,ORD00000058,2025-01-11,已完成,201.88,微信,美妆,134.03,10,0.0,
U00_00022,ORD00000059,2025-03-31,已完成,207.48,小红书,数码,123.46,0,0.0,
U00_00022,ORD00000060,2025-07-31,已完成,148.08,其他,家居,90.31,10,0.0,
U00_00023,ORD00000061,2025-01-23,已完成,101.54,其他,美妆,65.57,10,0.0,
U00_00024,ORD00000062,2025-01-27,已支付,332.26,其他,美妆,143.06,10,0.0,
U00_00024,ORD00000063,2025-03-18,已支付,242.77,微信,美妆,124.1,10,0.0,
U00_00024,ORD00000064,2025-05-31,已支付,212.98,小红书,服饰,142.16,15,0.0,
U00_00025,ORD00000065,2025-01-20,已完成,413.69,搜索引擎,家居,232.27,15,0.0,
U00_00025,ORD00000066,2025-04-29,已支付,252.86,搜索引擎,食品,158.07,10,234.02,2025-05-20
U00_00026,ORD00000067,2025-01-09,已支付,446.14,抖音,家居,272.3,10,0.0,
U00_00026,ORD00000068,2025-02-24,已支付,232.89,搜索引擎,服饰,131.94,5,0.0,
U00_00026,ORD00000069,2025-03-10,已支付,149.72,其他,食品,90.96,10,0.0,
U00_00027,ORD00000070,2025-01-23,已完成,254.19,小红书,食品,125.06,5,0.0,
U00_00027,ORD00000071,2025-04-07,已支付,382.37,其他,食品,184.67,10,0.0,
U00_00028,ORD00000072,2025-01-10,已完成,56.37,抖音,家居,31.58,10,0.0,
U00_00028,ORD00000073,2025-05-01,已完成,308.33,小红书,美妆,166.75,15,0.0,
U00_00028,ORD00000074,2025-07-03,已完成,230.32,小红书,家居,97.25,0,0.0,
U00_00029,ORD00000075,2025-01-03,已支付,497.26,其他,家居,216.57,15,0.0,
U00_00030,ORD00000076,2025-01-20,已完成,77.1,小红书,食品,53.05,0,0.0,
U00_00030,ORD00000077,2025-02-06,已完成,298.4,其他,服饰,133.37,15,0.0,
U00_00030,ORD00000078,2025-03-23,已支付,177.22,小红书,食品,116.59,0,0.0,
U00_00031,ORD00000079,2025-01-18,已完成,151.16,抖音,美妆,67.22,10,0.0,
U00_00031,ORD00000080,2025-02-24,已完成,420.91,搜索引擎,食品,284.69,15,0.0,
U00_00031,ORD00000081,2025-06-02,已完成,450.24,抖音,美妆,279.31,10,0.0,
U00_00032,ORD00000082,2025-01-28,已支付,308.84,抖音,数码,211.63,10,0.0,
U00_00032,ORD00000083,2025-04-19,已完成,246.15,微信,服饰,158.59,0,0.0,
U00_00033,ORD00000084,2025-01-23,已支付,272.96,抖音,服饰,163.44,15,170.93,2025-02-09
U00_00034,ORD00000085,2025-01-14,已完成,74.39,搜索引擎,美妆,41.33,10,0.0,
U00_00034,ORD00000086,2025-06-21,已完成,323.99,其他,美妆,152.85,5,0.0,
U00_00034,ORD00000087,2025-07-27,已支付,460.82,小红书,服饰,248.12,0,0.0,
U00_00035,ORD00000088,2025-01-10,已完成,278.99,小红书,服饰,134.48,15,0.0,
U00_00036,ORD00000089,2025-01-26,已完成,434.49,抖音,食品,218.1,10,0.0,
U00_00037,ORD00000090,2025-01-11,已完成,298.36,小红书,数码,167.99,15,0.0,
U00_00037,ORD00000091,2025-02-25,已支付,234.85,搜索引擎,服饰,116.36,15,0.0,
U00_00037,ORD00000092,2025-05-31,已完成,66.66,抖音,服饰,36.71,10,63.68,2025-06-10
U00_00038,ORD00000093,2025-01-21,已完成,486.48,其他,服饰,205.51,10,0.0,
U00_00039,ORD00000094,2025-01-25,已完成,269.58,小红书,食品,151.59,10,0.0,
U00_00039,ORD00000095,2025-04-21,已支付,366.75,微信,美妆,157.76,5,329.37,2025-05-19
U00_00040,ORD00000096,2025-01-14,已完成,304.67,抖音,家居,194.31,5,0.0,
U00_00040,ORD00000097,2025-03-30,已完成,312.42,微信,美妆,146.73,10,0.0,
U00_00040,ORD00000098,2025-07-31,已支付,205.5,微信,服饰,118.42,15,0.0,
U00_00041,ORD00000099,2025-01-07,已完成,499.72,搜索引擎,家居,327.82,0,0.0,
U00_00041,ORD00000100,2025-02-23,已完成,182.85,抖音,家居,126.79,15,0.0,
U00_00042,ORD00000101,2025-01-29,已完成,178.79,小红书,数码,114.36,10,0.0,
U00_00043,ORD00000102,2025-01-21,已支付,67.74,微信,数码,43.12,0,43.87,2025-03-19
U00_00043,ORD00000103,2025-03-26,已支付,292.73,微信,数码,202.41,10,0.0,
U00_00044,ORD00000104,2025-01-11,已完成,411.9,小红书,服饰,222.63,0,0.0,
U00_00044,ORD00000105,2025-05-18,已支付,105.61,搜索引擎,食品,53.92,10,0.0,
U00_00044,ORD00000106,2025-07-29,已完成,474.43,抖音,服饰,236.46,10,0.0,
U00_00045,ORD00000107,2025-01-10,已完成,342.16,微信,服饰,148.84,0,0.0,
U00_00045,ORD00000108,2025-02-18,已完成,111.05,其他,数码,59.53,10,0.0,
U00_00046,ORD00000109,2025-01-23,已完成,216.74,抖音,食品,115.53,5,0.0,
U00_00046,ORD00000110,2025-06-28,已支付,420.89,其他,美妆,179.93,5,280.63,2025-07-16
U00_00047,ORD00000111,2025-01-07,已支付,80.87,小红书,数码,50.91,5,0.0,
U00_00047,ORD00000112,2025-02-20,已完成,51.28,其他,食品,33.72,5,0.0,
U00_00047,ORD00000113,2025-03-28,已支付,61.6,微信,美妆,24.91,5,0.0,
U00_00047,ORD00000114,2025-04-24,已完成,239.43,搜索引擎,食品,103.94,0,0.0,
U00_00047,ORD00000115,2025-05-17,已完成,149.7,搜索引擎,美妆,87.5,10,110.7,2025-06-21
U00_00047,ORD00000116,2025-07-23,已完成,459.37,其他,数码,193.88,0,292.85,2025-09-11
U00_00048,ORD00000117,2025-01-19,已支付,296.76,微信,服饰,147.65,10,0.0,
U00_00048,ORD00000118,2025-04-21,已完成,342.91,搜索引擎,数码,216.27,5,0.0,
U00_00049,ORD00000119,2025-01-11,已完成,242.04,搜索引擎,美妆,145.11,10,131.35,2025-02-17
U00_00049,ORD00000120,2025-02-24,已支付,217.69,其他,家居,95.57,0,0.0,
U00_00049,ORD00000121,2025-03-12,已支付,443.12,抖音,食品,302.36,15,0.0,
U00_00050,ORD00000122,2025-01-08,已完成,431.27,抖音,食品,217.81,10,0.0,
U00_00051,ORD00000123,2025-01-01,已完成,324.05,小红书,食品,193.57,10,0.0,
U00_00051,ORD00000124,2025-02-11,已支付,207.96,搜索引擎,美妆,94.5,5,0.0,
U00_00051,ORD00000125,2025-04-24,已完成,288.72,小红书,食品,148.07,15,0.0,
U00_00052,ORD00000126,2025-01-29,已完成,73.67,抖音,食品,32.95,10,0.0,
U00_00053,ORD00000127,2025-01-04,已支付,177.46,微信,美妆,107.11,15,0.0,
U00_00053,ORD00000128,2025-03-07,已完成,185.64,微信,食品,86.02,5,0.0,
U00_00053,ORD00000129,2025-06-18,已完成,366.65,搜索引擎,美妆,201.69,10,0.0,
U00_00054,ORD00000130,2025-01-03,已完成,437.95,搜索引擎,食品,250.83,10,0.0,
U00_00054,ORD00000131,2025-02-11,已支付,127.34,微信,美妆,87.14,15,0.0,
U00_00054,ORD00000132,2025-03-14,已完成,314.99,微信,数码,175.51,15,0.0,
U00_00054,ORD00000133,2025-04-17,已完成,334.95,微信,数码,187.3,5,0.0,
U00_00054,ORD00000134,2025-05-07,已完成,128.07,搜索引擎,服饰,57.1,0,0.0,
U00_00055,ORD00000135,2025-01-30,已完成,446.92,微信,数码,264.98,10,0.0,
U00_00055,ORD00000136,2025-07-15,已完成,253.36,抖音,家居,105.67,10,0.0,
U00_00056,ORD00000137,2025-01-13,已完成,258.22,其他,数码,146.23,0,0.0,
U00_00056,ORD00000138,2025-03-02,已支付,252.74,抖音,家居,162.59,10,0.0,
U00_00056,ORD00000139,2025-04-23,已支付,246.99,小红书,食品,131.36,10,0.0,
U00_00057,ORD00000140,2025-01-20,已完成,73.56,微信,美妆,43.35,10,0.0,
U00_00057,ORD00000141,2025-03-28,已完成,345.45,抖音,家居,232.11,5,0.0,
U00_00058,ORD00000142,2025-01-05,已支付,317.77,搜索引擎,食品,216.53,10,0.0,
U00_00059,ORD00000143,2025-01-14,已完成,278.82,小红书,食品,113.05,10,0.0,
U00_00059,ORD00000144,2025-03-05,已支付,119.73,其他,家居,58.52,0,80.03,2025-05-03
U00_00060,ORD00000145,2025-01-23,已支付,396.99,搜索引擎,美妆,255.15,5,0.0,
U00_00060,ORD00000146,2025-03-15,已完成,324.77,其他,数码,203.21,15,0.0,
U00_00061,ORD00000147,2025-01-31,已完成,306.69,其他,家居,163.21,10,0.0,
U00_00061,ORD00000148,2025-02-07,已完成,410.57,搜索引擎,食品,181.27,10,0.0,
U00_00061,ORD00000149,2025-03-28,已完成,282.16,微信,服饰,123.42,0,0.0,
U00_00061,ORD00000150,2025-04-14,已完成,91.27,抖音,服饰,61.44,15,68.54,2025-05-09
U00_00061,ORD00000151,2025-06-08,已完成,62.68,小红书,美妆,42.58,10,0.0,
U00_00062,ORD00000152,2025-01-23,已完成,424.0,其他,美妆,266.12,15,0.0,
U00_00062,ORD00000153,2025-02-07,已支付,425.73,搜索引擎,美妆,240.38,10,0.0,
U00_00062,ORD00000154,2025-03-04,已完成,71.49,抖音,美妆,37.6,10,0.0,
U00_00063,ORD00000155,2025-01-23,已完成,114.61,小红书,家居,60.6,10,0.0,
U00_00063,ORD00000156,2025-03-12,已支付,80.46,其他,美妆,44.88,10,0.0,
U00_00064,ORD00000157,2025-01-01,已支付,210.69,抖音,家居,88.55,5,0.0,
U00_00064,ORD00000158,2025-02-02,已支付,208.53,搜索引擎,服饰,104.59,5,0.0,
U00_00064,ORD00000159,2025-04-25,已完成,474.62,小红书,美妆,195.11,5,0.0,
U00_00065,ORD00000160,2025-01-16,已完成,163.99,微信,美妆,102.66,5,0.0,
U00_00065,ORD00000161,2025-02-04,已支付,409.7,搜索引擎,服饰,217.59,15,0.0,
U00_00065,ORD00000162,2025-03-23,已完成,273.89,抖音,服饰,185.5,10,219.45,2025-04-13
U00_00065,ORD00000163,2025-06-22,已完成,183.04,搜索引擎,食品,97.7,15,0.0,
U00_00066,ORD00000164,2025-01-30,已支付,208.65,抖音,美妆,145.94,10,0.0,
U00_00066,ORD00000165,2025-05-01,已完成,114.25,小红书,美妆,66.52,15,0.0,
U00_00067,ORD00000166,2025-01-31,已完成,305.26,微信,服饰,177.52,15,0.0,
U00_00067,ORD00000167,2025-07-24,已完成,133.72,微信,食品,74.26,10,0.0,
U00_00068,ORD00000168,2025-01-07,已完成,498.36,抖音,数码,242.04,15,0.0,
U00_00068,ORD00000169,2025-05-22,已支付,485.4,抖音,家居,337.83,10,0.0,
U00_00069,ORD00000170,2025-01-23,已完成,369.3,其他,数码,225.3,5,0.0,
U00_00069,ORD00000171,2025-02-05,已支付,156.53,其他,食品,85.81,10,0.0,
U00_00069,ORD00000172,2025-04-29,已支付,88.8,搜索引擎,服饰,43.76,15,0.0,
U00_00069,ORD00000173,2025-05-11,已完成,339.05,小红书,家居,181.39,10,0.0,
U00_00070,ORD00000174,2025-01-14,已支付,276.29,小红书,食品,182.48,0,0.0,
U00_00070,ORD00000175,2025-02-23,已完成,151.46,抖音,食品,103.64,10,0.0,
U00_00070,ORD00000176,2025-07-21,已完成,125.89,其他,家居,85.92,5,0.0,
U00_00071,ORD00000177,2025-01-30,已完成,303.63,抖音,家居,196.62,0,0.0,
U00_00071,ORD00000178,2025-02-19,已支付,237.46,其他,食品,140.5,15,0.0,
U00_00072,ORD00000179,2025-01-23,已完成,76.96,小红书,食品,40.93,15,0.0,
U00_00072,ORD00000180,2025-02-23,已完成,193.69,小红书,食品,134.89,10,0.0,
U00_00072,ORD00000181,2025-03-08,已完成,259.91,抖音,美妆,124.82,5,0.0,
U00_00073,ORD00000182,2025-01-06,已完成,416.07,小红书,服饰,282.98,10,0.0,
U00_00073,ORD00000183,2025-05-13,已支付,277.45,微信,美妆,191.44,5,207.38,2025-07-03
U00_00074,ORD00000184,2025-01-01,已支付,431.23,微信,服饰,228.24,10,0.0,
U00_00074,ORD00000185,2025-04-18,已支付,179.87,微信,家居,92.8,15,0.0,
U00_00074,ORD00000186,2025-05-04,已支付,227.26,微信,数码,145.1,10,0.0,
U00_00075,ORD00000187,2025-01-02,已支付,67.51,搜索引擎,数码,41.46,15,0.0,
U00_00075,ORD00000188,2025-05-20,已支付,382.69,其他,家居,187.43,10,0.0,
U00_00076,ORD00000189,2025-01-01,已支付,215.76,微信,美妆,129.92,15,0.0,
U00_00076,ORD00000190,2025-02-21,已完成,402.31,抖音,家居,254.6,10,0.0,
U00_00077,ORD00000191,2025-01-08,已完成,64.21,抖音,服饰,43.95,0,0.0,
U00_00077,ORD00000192,2025-02-23,已完成,141.75,抖音,数码,78.04,10,0.0,
U00_00078,ORD00000193,2025-01-15,已支付,460.46,微信,家居,231.47,10,0.0,
U00_00078,ORD00000194,2025-03-10,已完成,151.19,小红书,服饰,104.6,10,0.0,
U00_00079,ORD00000195,2025-01-04,已完成,308.06,小红书,食品,173.42,15,301.18,2025-01-19
U00_00079,ORD00000196,2025-02-15,已完成,345.19,其他,食品,215.47,5,0.0,
U00_00079,ORD00000197,2025-04-20,已支付,383.4,其他,数码,180.88,0,0.0,
U00_00079,ORD00000198,2025-05-14,已完成,198.63,其他,数码,107.6,5,0.0,
U00_00080,ORD00000199,2025-01-16,已完成,342.74,微信,美妆,214.82,10,0.0,
U00_00080,ORD00000200,2025-02-19,已完成,154.5,搜索引擎,数码,96.04,0,0.0,
U00_00080,ORD00000201,2025-03-27,已完成,228.65,抖音,食品,125.44,10,0.0,
U00_00080,ORD00000202,2025-04-11,已支付,178.05,搜索引擎,数码,124.05,10,0.0,
U00_00080,ORD00000203,2025-07-06,已完成,379.0,微信,食品,225.31,5,0.0,
U00_00081,ORD00000204,2025-01-25,已完成,136.92,其他,食品,79.86,15,114.28,2025-02-15
U00_00081,ORD00000205,2025-05-13,已完成,155.98,其他,家居,97.66,10,128.97,2025-07-06
U00_00082,ORD00000206,2025-01-15,已支付,188.06,微信,美妆,98.1,10,0.0,
U00_00083,ORD00000207,2025-01-20,已支付,218.13,小红书,数码,133.19,15,0.0,
U00_00084,ORD00000208,2025-01-04,已完成,77.79,其他,家居,43.9,10,0.0,
U00_00084,ORD00000209,2025-02-17,已完成,248.83,抖音,家居,150.32,10,0.0,
U00_00084,ORD00000210,2025-03-05,已支付,280.96,搜索引擎,食品,150.89,0,0.0,
U00_00085,ORD00000211,2025-01-02,已完成,240.66,抖音,服饰,146.83,10,169.53,2025-03-02
U00_00085,ORD00000212,2025-02-21,已完成,490.25,搜索引擎,服饰,291.09,15,0.0,
U00_00086,ORD00000213,2025-01-21,已完成,437.13,其他,数码,190.41,10,0.0,
U00_00086,ORD00000214,2025-02-01,已支付,390.28,其他,服饰,270.68,15,0.0,
U00_00087,ORD00000215,2025-01-24,已支付,394.47,抖音,数码,161.6,15,0.0,
U00_00087,ORD00000216,2025-02-02,已完成,250.9,抖音,服饰,150.94,0,0.0,
U00_00087,ORD00000217,2025-06-10,已完成,155.37,其他,家居,104.86,10,0.0,
U00_00088,ORD00000218,2025-01-08,已完成,185.79,搜索引擎,食品,82.3,10,0.0,
U00_00088,ORD00000219,2025-05-22,已支付,242.24,搜索引擎,家居,132.91,10,0.0,
U00_00089,ORD00000220,2025-01-13,已完成,132.75,微信,数码,74.52,5,0.0,
U00_00089,ORD00000221,2025-06-08,已完成,164.75,微信,美妆,82.22,0,0.0,
U00_00090,ORD00000222,2025-01-02,已完成,170.81,抖音,数码,102.84,10,0.0,
U00_00090,ORD00000223,2025-04-07,已完成,441.26,小红书,美妆,220.58,0,0.0,
U00_00091,ORD00000224,2025-01-23,已完成,142.03,微信,服饰,95.8,10,0.0,
U00_00092,ORD00000225,2025-01-24,已完成,261.27,微信,服饰,170.33,5,243.51,2025-03-22
U00_00092,ORD00000226,2025-02-09,已完成,298.99,小红书,数码,171.98,15,0.0,
U00_00093,ORD00000227,2025-01-09,已完成,393.51,小红书,食品,215.09,15,0.0,
U00_00093,ORD00000228,2025-07-02,已完成,427.58,搜索引擎,数码,180.57,0,0.0,
U00_00094,ORD00000229,2025-01-08,已支付,80.59,搜索引擎,食品,35.89,5,65.99,2025-02-26
U00_00094,ORD00000230,2025-04-18,已支付,298.24,微信,家居,120.36,10,0.0,
U00_00094,ORD00000231,2025-05-27,已完成,364.04,抖音,家居,192.64,5,0.0,
U00_00095,ORD00000232,2025-01-27,已完成,209.5,搜索引擎,服饰,133.76,0,0.0,
U00_00095,ORD00000233,2025-03-22,已完成,422.63,搜索引擎,服饰,179.27,0,0.0,
U00_00095,ORD00000234,2025-07-28,已完成,245.26,其他,美妆,155.82,10,0.0,
U00_00096,ORD00000235,2025-01-29,已完成,440.65,抖音,美妆,293.59,15,0.0,
U00_00096,ORD00000236,2025-02-18,已完成,303.58,小红书,家居,124.43,10,0.0,
U00_00097,ORD00000237,2025-01-19,已完成,425.59,搜索引擎,数码,219.92,10,0.0,
U00_00097,ORD00000238,2025-03-24,已完成,488.45,抖音,食品,203.25,15,0.0,
U00_00098,ORD00000239,2025-01-21,已完成,173.0,微信,家居,120.72,15,0.0,
U00_00098,ORD00000240,2025-05-20,已完成,182.92,微信,数码,86.69,0,0.0,
U00_00099,ORD00000241,2025-01-13,已完成,192.51,搜索引擎,食品,83.16,0,0.0,
U00_00099,ORD00000242,2025-02-03,已支付,134.33,搜索引擎,美妆,71.82,10,90.94,2025-02-18
U00_00099,ORD00000243,2025-06-14,已完成,224.51,其他,家居,95.51,10,0.0,
U00_00100,ORD00000244,2025-01-05,已完成,171.01,小红书,服饰,82.17,5,0.0,
U00_00100,ORD00000245,2025-02-26,已支付,84.61,搜索引擎,家居,40.23,5,0.0,
U00_00100,ORD00000246,2025-04-01,已完成,476.97,微信,服饰,238.33,10,0.0,
U00_00101,ORD00000247,2025-01-05,已完成,185.2,微信,数码,107.59,5,0.0,
U00_00102,ORD00000248,2025-01-13,已完成,176.14,其他,数码,111.98,10,0.0,
U00_00103,ORD00000249,2025-01-15,已完成,408.96,搜索引擎,数码,265.57,0,0.0,
U00_00103,ORD00000250,2025-02-22,已完成,119.36,搜索引擎,家居,62.9,15,0.0,
U00_00104,ORD00000251,2025-01-26,已支付,485.79,抖音,美妆,296.57,10,0.0,
U00_00104,ORD00000252,2025-05-21,已完成,354.86,抖音,美妆,184.49,10,216.82,2025-07-17
U00_00105,ORD00000253,2025-01-19,已支付,149.46,其他,家居,76.56,15,0.0,
U00_00105,ORD00000254,2025-06-27,已完成,473.3,搜索引擎,数码,209.44,10,0.0,
U00_00106,ORD00000255,2025-01-04,已完成,247.17,微信,美妆,150.53,10,0.0,
U00_00106,ORD00000256,2025-02-28,已支付,204.39,小红书,家居,88.46,5,0.0,
U00_00106,ORD00000257,2025-03-18,已支付,241.87,小红书,数码,130.28,15,0.0,
U00_00106,ORD00000258,2025-05-20,已完成,447.39,抖音,数码,239.3,15,0.0,
U00_00107,ORD00000259,2025-01-03,已完成,309.81,微信,食品,198.23,10,0.0,
U00_00107,ORD00000260,2025-02-22,已支付,438.19,搜索引擎,家居,244.65,10,0.0,
U00_00107,ORD00000261,2025-03-12,已支付,430.48,其他,美妆,251.92,10,0.0,
U00_00107,ORD00000262,2025-06-12,已支付,362.05,小红书,家居,200.3,15,0.0,
U00_00108,ORD00000263,2025-01-21,已支付,291.82,小红书,服饰,197.2,5,0.0,
U00_00108,ORD00000264,2025-02-27,已完成,252.95,搜索引擎,数码,105.25,10,0.0,
U00_00109,ORD00000265,2025-01-23,已支付,427.95,抖音,数码,233.92,0,0.0,
U00_00109,ORD00000266,2025-02-18,已支付,179.9,搜索引擎,家居,114.1,10,0.0,
U00_00110,ORD00000267,2025-01-25,已完成,68.72,搜索引擎,美妆,42.31,10,0.0,
U00_00110,ORD00000268,2025-03-28,已完成,499.69,搜索引擎,美妆,267.29,10,0.0,
U00_00111,ORD00000269,2025-01-23,已完成,324.62,小红书,数码,171.55,10,0.0,
U00_00111,ORD00000270,2025-05-23,已支付,181.69,抖音,数码,103.89,10,0.0,
U00_00112,ORD00000271,2025-01-09,已完成,440.17,小红书,食品,192.82,5,0.0,
U00_00113,ORD00000272,2025-01-15,已完成,83.98,其他,食品,53.61,0,0.0,
U00_00114,ORD00000273,2025-01-03,已完成,378.92,其他,服饰,203.68,10,0.0,
U00_00114,ORD00000274,2025-03-09,已支付,195.29,小红书,家居,94.73,10,0.0,
U00_00114,ORD00000275,2025-07-21,已完成,402.75,搜索引擎,服饰,216.63,0,394.3,2025-08-12
U00_00115,ORD00000276,2025-01-23,已完成,459.23,微信,美妆,305.22,10,0.0,
U00_00115,ORD00000277,2025-02-12,已完成,349.03,微信,数码,207.56,0,0.0,
U00_00115,ORD00000278,2025-03-04,已支付,50.49,小红书,家居,27.42,5,0.0,
U00_00115,ORD00000279,2025-04-23,已支付,204.61,小红书,服饰,89.25,15,141.49,2025-06-18
U00_00115,ORD00000280,2025-06-12,已支付,446.45,小红书,美妆,196.95,5,0.0,
U00_00115,ORD00000281,2025-07-21,已支付,123.85,小红书,服饰,62.59,5,0.0,
U00_00116,ORD00000282,2025-01-15,已完成,436.98,抖音,家居,186.16,0,0.0,
U00_00117,ORD00000283,2025-01-20,已支付,320.0,微信,数码,186.33,0,0.0,
U00_00117,ORD00000284,2025-05-29,已完成,407.2,小红书,服饰,192.12,15,0.0,
U00_00117,ORD00000285,2025-06-29,已完成,489.96,搜索引擎,家居,341.04,10,0.0,
U00_00118,ORD00000286,2025-01-06,已完成,393.23,其他,美妆,269.89,0,239.03,2025-01-19
U00_00119,ORD00000287,2025-01-13,已完成,87.09,微信,美妆,48.85,10,0.0,
U00_00119,ORD00000288,2025-03-26,已支付,119.92,抖音,食品,59.72,10,0.0,
U00_00119,ORD00000289,2025-06-03,已支付,466.08,抖音,食品,202.65,10,0.0,
U00_00120,ORD00000290,2025-01-06,已完成,103.75,搜索引擎,食品,63.53,0,0.0,
U00_00120,ORD00000291,2025-04-05,已完成,387.4,微信,服饰,256.47,0,0.0,
U00_00120,ORD00000292,2025-05-23,已完成,488.77,其他,食品,287.52,15,454.4,2025-06-12
U00_00121,ORD00000293,2025-01-04,已完成,452.42,其他,美妆,272.46,0,421.41,2025-01-29
